MPG_City,Horsepower,Weight,Cylinders,Irit_Boros
15,210,4463,6.0,0
18,201,3346,6.0,0
26,130,2612,4.0,1
27,110,2606,4.0,1
26,130,2606,4.0,1
26,130,2691,4.0,1
21,170,2750,4.0,1
20,155,3306,6.0,1
19,201,3313,6.0,1
17,224,4057,8.0,0
17,224,4057,8.0,0
17,239,4057,8.0,0
17,193,4275,6.0,0
20,193,3290,6.0,1
17,260,3347,8.0,0
17,280,3780,8.0,0
15,231,4788,8.0,0
14,300,5464,8.0,0
24,143,3028,4.0,1
26,130,2702,4.0,1
19,155,3497,6.0,1
15,275,4945,6.0,0
16,285,5042,8.0,0
13,325,6133,8.0,0
16,190,4309,6.0,0
18,175,3351,4.0,0
17,285,4548,8.0,0
13,300,5440,8.0,0
15,190,4083,6.0,0
46,93,2732,4.0,1
60,73,1850,3.0,1
17,240,4387,6.0,0
21,160,3258,4.0,1
21,160,3468,4.0,1
32,115,2432,4.0,1
36,117,2500,4.0,1
32,115,2513,4.0,1
26,160,2994,4.0,1
26,160,3047,4.0,1
32,127,2601,4.0,1
26,160,2782,4.0,1
21,240,3349,6.0,1
21,240,3294,6.0,1
18,240,4310,6.0,0
18,240,4365,6.0,0
20,240,2835,4.0,1
10,316,6400,8.0,0
20,173,3549,6.0,1
29,103,2255,4.0,1
29,103,2290,4.0,1
29,103,2339,4.0,1
26,138,2635,4.0,1
26,138,2635,4.0,1
26,138,2698,4.0,1
19,170,3217,6.0,1
19,170,3217,6.0,1
17,194,3651,6.0,0
17,194,3651,6.0,0
19,172,3023,6.0,1
18,260,3336,6.0,0
18,280,3416,6.0,0
18,260,3677,6.0,0
19,255,3306,6.0,1
17,340,3851,8.0,0
17,340,3977,8.0,0
16,280,4056,6.0,0
15,315,4309,8.0,0
15,275,4967,6.0,0
17,193,3836,6.0,0
18,192,3428,6.0,0
18,227,3516,6.0,0
18,235,3777,6.0,0
18,294,3874,8.0,0
17,390,4046,8.0,0
18,294,3803,8.0,0
18,294,3803,8.0,0
17,390,3948,8.0,0
18,294,3779,8.0,0
18,294,3980,8.0,0
16,390,3865,8.0,0
16,390,4042,8.0,0
16,195,3790,6.0,0
20,150,3826,4.0,1
16,190,3575,6.0,0
16,192,4112,6.0,0
23,138,3281,4.0,1
26,104,2403,4.0,1
25,104,2458,4.0,1
24,124,2661,4.0,1
24,124,2686,4.0,1
24,124,2697,4.0,1
20,170,3279,6.0,1
17,195,4021,6.0,0
16,195,4802,6.0,0
26,104,2447,4.0,1
12,282,5379,8.0,0
12,217,4576,8.0,0
18,174,3577,6.0,0
15,235,4740,8.0,0
13,235,5590,8.0,0
18,230,4065,6.0,0
20,225,3460,6.0,1
18,215,3255,6.0,0
18,215,3285,6.0,0
18,220,3649,6.0,0
18,300,3715,8.0,0
18,290,3990,8.0,0
18,300,3840,8.0,0
18,215,3410,6.0,0
13,300,5969,8.0,0
13,302,4834,8.0,0
20,232,3681,6.0,1
20,232,3681,6.0,1
17,280,3768,8.0,0
17,280,3768,8.0,0
17,239,4369,8.0,0
17,239,4369,8.0,0
17,239,4474,8.0,0
28,115,2524,4.0,1
25,163,2678,4.0,1
22,130,3091,4.0,1
26,148,2696,4.0,1
25,160,2762,4.0,1
24,160,3042,4.0,1
18,200,3812,6.0,0
23,142,2387,4.0,1
23,142,2387,4.0,1
24,143,2960,4.0,1
15,207,3571,6.0,0
13,292,5423,8.0,0
14,288,4874,8.0,0
22,189,3250,4.0,1
19,215,3430,6.0,1
20,168,3360,6.0,1
19,168,3360,6.0,1
19,215,3430,6.0,1
20,215,3450,6.0,1
19,215,3450,6.0,1
16,349,3540,6.0,0
16,302,4085,8.0,0
13,493,4473,12.0,0
20,215,3770,6.0,1
17,302,3585,8.0,0
19,221,3635,6.0,1
16,302,3815,8.0,0
18,275,4160,8.0,0
16,302,4390,8.0,0
16,302,4065,8.0,0
14,493,4235,8.0,0
13,493,4429,12.0,0
21,192,3055,4.0,1
17,349,3220,6.0,0
19,168,3470,6.0,1
19,221,3966,6.0,1
16,302,4230,8.0,0
16,210,4374,6.0,0
20,155,3308,6.0,1
17,224,4052,8.0,0
17,224,4052,8.0,0
19,201,3315,6.0,1
17,224,4052,8.0,0
17,302,4195,8.0,0
16,201,4340,6.0,0
19,155,3488,6.0,1
17,215,4134,6.0,0
15,215,4718,6.0,0
21,160,3240,4.0,1
25,120,2656,4.0,1
25,120,2795,4.0,1
23,160,3351,4.0,1
25,120,2744,4.0,1
18,205,3549,6.0,0
18,230,3649,6.0,0
21,210,3241,6.0,1
21,210,3296,6.0,1
18,271,3263,4.0,0
25,160,3020,4.0,1
13,305,5013,8.0,0
16,240,3871,6.0,0
17,180,3760,6.0,0
28,126,2513,4.0,1
28,126,2581,4.0,1
21,175,3039,4.0,1
23,165,2761,4.0,1
21,245,3197,6.0,1
20,265,3473,6.0,1
20,265,3476,6.0,1
19,240,4012,6.0,1
18,240,4175,6.0,0
20,287,3188,6.0,1
20,287,3428,6.0,1
17,180,3932,6.0,0
14,305,5287,8.0,0
20,245,3801,6.0,1
24,140,2946,4.0,1
20,170,3085,6.0,1
19,185,3948,6.0,1
19,185,3779,6.0,1
24,140,2771,4.0,1
20,175,3118,6.0,1
20,200,3477,6.0,1
24,140,2771,4.0,1
20,200,3484,6.0,1
17,275,3790,8.0,0
19,185,3803,6.0,1
18,185,4431,6.0,0
16,340,3725,8.0,0
29,130,2701,4.0,1
14,340,4950,8.0,0
18,315,3135,6.0,0
17,315,3240,6.0,0
18,315,3119,6.0,0
17,477,3131,6.0,0
20,228,2811,6.0,1
18,258,2911,6.0,0
20,210,3175,4.0,1
20,210,3175,4.0,1
21,220,3470,4.0,1
21,250,3470,4.0,1
21,210,3480,4.0,1
21,210,3700,4.0,1
19,250,3620,4.0,1
21,143,3381,4.0,1
26,140,2692,4.0,1
26,140,2692,4.0,1
26,140,2692,4.0,1
26,140,2751,4.0,1
26,140,2751,4.0,1
20,182,3197,6.0,1
24,140,3109,4.0,1
32,108,2340,4.0,1
31,108,2425,4.0,1
22,165,2965,4.0,1
21,165,3285,4.0,1
21,165,3395,4.0,1
20,165,3495,4.0,1
19,212,3610,6.0,1
19,212,3630,6.0,1
20,227,3085,4.0,1
18,300,3263,4.0,0
21,165,3485,4.0,1
21,165,3090,4.0,1
21,165,3430,4.0,1
18,185,3682,6.0,0
19,165,3020,6.0,1
25,155,2676,4.0,1
25,155,2676,4.0,1
24,119,2701,4.0,1
22,119,2756,4.0,1
20,155,3380,6.0,1
24,155,2932,4.0,1
59,110,2890,4.0,1
14,240,5270,8.0,0
18,245,4035,6.0,0
18,230,3935,6.0,0
13,325,5390,8.0,0
22,161,3119,4.0,1
32,130,2502,4.0,1
32,130,2524,4.0,1
32,130,2524,4.0,1
35,108,2035,4.0,1
33,108,2085,4.0,1
35,108,2055,4.0,1
24,157,3086,4.0,1
21,210,3296,6.0,1
24,157,3175,4.0,1
20,225,3417,6.0,1
21,210,3417,6.0,1
21,210,3362,6.0,1
20,225,3439,6.0,1
21,210,3439,6.0,1
19,230,4120,6.0,1
19,230,4165,6.0,1
24,180,2500,4.0,1
26,138,2195,4.0,1
22,142,2750,4.0,1
16,190,3925,6.0,0
14,190,4435,6.0,0
29,130,2679,4.0,1
15,220,5086,6.0,0
24,115,2897,4.0,1
24,180,2934,4.0,1
38,100,3003,4.0,1
24,150,2820,4.0,1
21,200,3179,6.0,1
24,115,3082,4.0,1
22,170,3241,4.0,1
19,190,3721,6.0,1
18,270,3953,8.0,0
16,335,5194,8.0,0
12,420,5399,12.0,0
24,115,3034,4.0,1
22,170,3338,4.0,1
18,270,4067,8.0,0
15,268,4638,6.0,0
22,170,2767,4.0,1
20,208,3903,5.0,1
20,247,3766,5.0,1
18,300,3571,5.0,0
20,208,3576,6.0,1
20,194,3691,5.0,1
21,197,3450,5.0,1
20,242,3450,5.0,1
19,268,3653,6.0,1
22,170,2822,4.0,1
20,208,3823,5.0,1
